Year,College,Term,POT,Course ID,Title,CRN,Students,Primary,PEER,SELE,Respondents,Grade,Percentage of Students
2018,University College,201821,1,GEN-175-022,Intro to Info Technology,24952,26,Y,NA,4.75,20,Fs,7.70%
2018,University College,201821,1,GEN-175-022,Intro to Info Technology,24952,26,Y,NA,4.75,20,Ps,0.00%
2018,University College,201821,1,GEN-175-022,Intro to Info Technology,24952,26,Y,NA,4.75,20,NPs,0.00%
2018,University College,201822,1,GEN-175-016,Intro to Info Technology,24398,32,Y,NA,4.97,29,As,61.30%
2018,University College,201822,1,GEN-175-016,Intro to Info Technology,24398,32,Y,NA,4.97,29,Bs,25.80%
2018,University College,201822,1,GEN-175-016,Intro to Info Technology,24398,32,Y,NA,4.97,29,Cs,9.70%
2018,University College,201822,1,GEN-175-016,Intro to Info Technology,24398,32,Y,NA,4.97,29,Ds,3.20%
2018,University College,201822,1,GEN-175-016,Intro to Info Technology,24398,32,Y,NA,4.97,29,Fs,0.00%
2018,University College,201822,1,GEN-175-016,Intro to Info Technology,24398,32,Y,NA,4.97,29,Ps,0.00%
2018,University College,201822,1,GEN-175-016,Intro to Info Technology,24398,32,Y,NA,4.97,29,NPs,0.00%
2018,University College,201822,1,GEN-175-905,Intro to Info Technology,23358,31,Y,NA,4.95,19,As,46.70%
2018,University College,201822,1,GEN-175-905,Intro to Info Technology,23358,31,Y,NA,4.95,19,Bs,23.30%
2018,University College,201822,1,GEN-175-905,Intro to Info Technology,23358,31,Y,NA,4.95,19,Cs,6.70%
2018,University College,201822,1,GEN-175-905,Intro to Info Technology,23358,31,Y,NA,4.95,19,Ds,16.70%
2018,University College,201822,1,GEN-175-905,Intro to Info Technology,23358,31,Y,NA,4.95,19,Fs,6.70%
2018,University College,201822,1,GEN-175-905,Intro to Info Technology,23358,31,Y,NA,4.95,19,Ps,0.00%
2018,University College,201822,1,GEN-175-905,Intro to Info Technology,23358,31,Y,NA,4.95,19,NPs,0.00%
2018,University College,201822,1,GEN-175-017,Intro to Info Technology,24403,32,Y,NA,4.88,26,As,21.90%
2018,University College,201822,1,GEN-175-017,Intro to Info Technology,24403,32,Y,NA,4.88,26,Bs,43.80%
2018,University College,201822,1,GEN-175-017,Intro to Info Technology,24403,32,Y,NA,4.88,26,Cs,21.90%
2018,University College,201822,1,GEN-175-017,Intro to Info Technology,24403,32,Y,NA,4.88,26,Ds,9.40%
2018,University College,201822,1,GEN-175-017,Intro to Info Technology,24403,32,Y,NA,4.88,26,Fs,3.10%
2018,University College,201822,1,GEN-175-017,Intro to Info Technology,24403,32,Y,NA,4.88,26,Ps,0.00%
2018,University College,201822,1,GEN-175-017,Intro to Info Technology,24403,32,Y,NA,4.88,26,NPs,0.00%
2018,University College,201822,1,GEN-175-015,Intro to Info Technology,23088,32,Y,NA,4.96,28,As,67.70%
2018,University College,201822,1,GEN-175-015,Intro to Info Technology,23088,32,Y,NA,4.96,28,Bs,22.60%
2018,University College,201822,1,GEN-175-015,Intro to Info Technology,23088,32,Y,NA,4.96,28,Cs,6.50%
2018,University College,201822,1,GEN-175-015,Intro to Info Technology,23088,32,Y,NA,4.96,28,Ds,3.20%
2018,University College,201822,1,GEN-175-015,Intro to Info Technology,23088,32,Y,NA,4.96,28,Fs,0.00%
2018,University College,201822,1,GEN-175-015,Intro to Info Technology,23088,32,Y,NA,4.96,28,Ps,0.00%
2018,University College,201822,1,GEN-175-015,Intro to Info Technology,23088,32,Y,NA,4.96,28,NPs,0.00%
2018,University College,201822,1,GEN-175-031,Intro to Info Technology,24663,18,Y,NA,4.77,13,As,22.20%
2018,University College,201822,1,GEN-175-031,Intro to Info Technology,24663,18,Y,NA,4.77,13,Bs,22.20%
2018,University College,201822,1,GEN-175-031,Intro to Info Technology,24663,18,Y,NA,4.77,13,Cs,33.30%
2018,University College,201822,1,GEN-175-031,Intro to Info Technology,24663,18,Y,NA,4.77,13,Ds,11.10%
2018,University College,201822,1,GEN-175-031,Intro to Info Technology,24663,18,Y,NA,4.77,13,Fs,11.10%
2018,University College,201822,1,GEN-175-031,Intro to Info Technology,24663,18,Y,NA,4.77,13,Ps,0.00%
2018,University College,201822,1,GEN-175-031,Intro to Info Technology,24663,18,Y,NA,4.77,13,NPs,0.00%
2018,University College,201823,1,GEN-175-001,Intro to Info Technology,23209,23,Y,NA,4.81,16,As,50.00%
2018,University College,201823,1,GEN-175-001,Intro to Info Technology,23209,23,Y,NA,4.81,16,Bs,31.80%
2018,University College,201823,1,GEN-175-001,Intro to Info Technology,23209,23,Y,NA,4.81,16,Cs,18.20%
2018,University College,201823,1,GEN-175-001,Intro to Info Technology,23209,23,Y,NA,4.81,16,Ds,0.00%
2018,University College,201823,1,GEN-175-001,Intro to Info Technology,23209,23,Y,NA,4.81,16,Fs,0.00%
2018,University College,201823,1,GEN-175-001,Intro to Info Technology,23209,23,Y,NA,4.81,16,Ps,0.00%
2018,University College,201823,1,GEN-175-001,Intro to Info Technology,23209,23,Y,NA,4.81,16,NPs,0.00%
2019,University College,201921,1,GEN-175-009,Intro to Info Technology,23562,32,Y,NA,4.5,26,As,22.60%
2019,University College,201921,1,GEN-175-009,Intro to Info Technology,23562,32,Y,NA,4.5,26,Bs,32.30%
2019,University College,201921,1,GEN-175-009,Intro to Info Technology,23562,32,Y,NA,4.5,26,Cs,29.00%
2019,University College,201921,1,GEN-175-009,Intro to Info Technology,23562,32,Y,NA,4.5,26,Ds,12.90%
2019,University College,201921,1,GEN-175-009,Intro to Info Technology,23562,32,Y,NA,4.5,26,Fs,3.20%
2019,University College,201921,1,GEN-175-009,Intro to Info Technology,23562,32,Y,NA,4.5,26,Ps,0.00%
2019,University College,201921,1,GEN-175-009,Intro to Info Technology,23562,32,Y,NA,4.5,26,NPs,0.00%
2019,University College,201921,1,GEN-175-004,Intro to Info Technology,24035,32,Y,NA,4.33,12,As,15.60%
2019,University College,201921,1,GEN-175-004,Intro to Info Technology,24035,32,Y,NA,4.33,12,Bs,18.80%
2019,University College,201921,1,GEN-175-004,Intro to Info Technology,24035,32,Y,NA,4.33,12,Cs,31.30%
2019,University College,201921,1,GEN-175-004,Intro to Info Technology,24035,32,Y,NA,4.33,12,Ds,15.60%
2019,University College,201921,1,GEN-175-004,Intro to Info Technology,24035,32,Y,NA,4.33,12,Fs,18.80%
2019,University College,201921,1,GEN-175-004,Intro to Info Technology,24035,32,Y,NA,4.33,12,Ps,0.00%
2019,University College,201921,1,GEN-175-004,Intro to Info Technology,24035,32,Y,NA,4.33,12,NPs,0.00%
2019,University College,201921,1,GEN-175-005,Intro to Info Technology,23547,21,Y,NA,4,8,As,9.50%
2019,University College,201921,1,GEN-175-005,Intro to Info Technology,23547,21,Y,NA,4,8,Bs,19.00%
2019,University College,201921,1,GEN-175-005,Intro to Info Technology,23547,21,Y,NA,4,8,Cs,33.30%
2019,University College,201921,1,GEN-175-005,Intro to Info Technology,23547,21,Y,NA,4,8,Ds,14.30%
2019,University College,201921,1,GEN-175-005,Intro to Info Technology,23547,21,Y,NA,4,8,Fs,23.80%
2019,University College,201921,1,GEN-175-005,Intro to Info Technology,23547,21,Y,NA,4,8,Ps,0.00%
2019,University College,201921,1,GEN-175-005,Intro to Info Technology,23547,21,Y,NA,4,8,NPs,0.00%
2019,University College,201921,1,GEN-175-010,Intro to Info Technology,24039,32,Y,NA,4.56,16,As,25.00%
2019,University College,201921,1,GEN-175-010,Intro to Info Technology,24039,32,Y,NA,4.56,16,Bs,34.40%
2019,University College,201921,1,GEN-175-010,Intro to Info Technology,24039,32,Y,NA,4.56,16,Cs,28.10%
2019,University College,201921,1,GEN-175-010,Intro to Info Technology,24039,32,Y,NA,4.56,16,Ds,3.10%
2019,University College,201921,1,GEN-175-010,Intro to Info Technology,24039,32,Y,NA,4.56,16,Fs,9.40%
2019,University College,201921,1,GEN-175-010,Intro to Info Technology,24039,32,Y,NA,4.56,16,Ps,0.00%
2019,University College,201921,1,GEN-175-010,Intro to Info Technology,24039,32,Y,NA,4.56,16,NPs,0.00%
2019,University College,201921,1,GEN-175-903,Intro to Info Technology,23772,31,Y,NA,4.64,14,As,36.70%
2019,University College,201921,1,GEN-175-903,Intro to Info Technology,23772,31,Y,NA,4.64,14,Bs,16.70%
2019,University College,201921,1,GEN-175-903,Intro to Info Technology,23772,31,Y,NA,4.64,14,Cs,13.30%
2019,University College,201921,1,GEN-175-903,Intro to Info Technology,23772,31,Y,NA,4.64,14,Ds,3.30%
2019,University College,201921,1,GEN-175-903,Intro to Info Technology,23772,31,Y,NA,4.64,14,Fs,30.00%
2019,University College,201921,1,GEN-175-903,Intro to Info Technology,23772,31,Y,NA,4.64,14,Ps,0.00%
2019,University College,201921,1,GEN-175-903,Intro to Info Technology,23772,31,Y,NA,4.64,14,NPs,0.00%
2019,University College,201921,1,GEN-110-024,Data Management and Analysis,32211,32,Y,NA,4.26,19,As,18.80%
2019,University College,201921,1,GEN-110-024,Data Management and Analysis,32211,32,Y,NA,4.26,19,Bs,31.30%
2019,University College,201921,1,GEN-110-024,Data Management and Analysis,32211,32,Y,NA,4.26,19,Cs,15.60%
2019,University College,201921,1,GEN-110-024,Data Management and Analysis,32211,32,Y,NA,4.26,19,Ds,12.50%
2019,University College,201921,1,GEN-110-024,Data Management and Analysis,32211,32,Y,NA,4.26,19,Fs,21.90%
2019,University College,201921,1,GEN-110-024,Data Management and Analysis,32211,32,Y,NA,4.26,19,Ps,0.00%
2019,University College,201921,1,GEN-110-024,Data Management and Analysis,32211,32,Y,NA,4.26,19,NPs,0.00%
2019,University College,201922,1,GEN-175-036,Intro to Info Technology,21991,28,Y,NA,4.52,21,As,60.70%
2019,University College,201922,1,GEN-175-036,Intro to Info Technology,21991,28,Y,NA,4.52,21,Bs,17.90%
2019,University College,201922,1,GEN-175-036,Intro to Info Technology,21991,28,Y,NA,4.52,21,Cs,3.60%
2019,University College,201922,1,GEN-175-036,Intro to Info Technology,21991,28,Y,NA,4.52,21,Ds,0.00%
2019,University College,201922,1,GEN-175-036,Intro to Info Technology,21991,28,Y,NA,4.52,21,Fs,7.10%
2019,University College,201922,1,GEN-175-036,Intro to Info Technology,21991,28,Y,NA,4.52,21,Ps,10.70%
2019,University College,201922,1,GEN-175-036,Intro to Info Technology,21991,28,Y,NA,4.52,21,NPs,0.00%
2019,University College,201922,1,GEN-175-909,Intro to Info Technology,22024,29,Y,NA,4.57,14,As,44.80%
2019,University College,201922,1,GEN-175-909,Intro to Info Technology,22024,29,Y,NA,4.57,14,Bs,13.80%
2019,University College,201922,1,GEN-175-909,Intro to Info Technology,22024,29,Y,NA,4.57,14,Cs,3.40%
2019,University College,201922,1,GEN-175-909,Intro to Info Technology,22024,29,Y,NA,4.57,14,Ds,0.00%
2019,University College,201922,1,GEN-175-909,Intro to Info Technology,22024,29,Y,NA,4.57,14,Fs,3.40%
2019,University College,201922,1,GEN-175-909,Intro to Info Technology,22024,29,Y,NA,4.57,14,Ps,17.20%
2019,University College,201922,1,GEN-175-909,Intro to Info Technology,22024,29,Y,NA,4.57,14,NPs,17.20%
2019,University College,201922,1,GEN-175-024,Intro to Info Technology,21450,28,Y,NA,4.67,18,As,46.40%
2019,University College,201922,1,GEN-175-024,Intro to Info Technology,21450,28,Y,NA,4.67,18,Bs,21.40%
2019,University College,201922,1,GEN-175-024,Intro to Info Technology,21450,28,Y,NA,4.67,18,Cs,7.10%
2019,University College,201922,1,GEN-175-024,Intro to Info Technology,21450,28,Y,NA,4.67,18,Ds,0.00%
2019,University College,201922,1,GEN-175-024,Intro to Info Technology,21450,28,Y,NA,4.67,18,Fs,3.60%
2019,University College,201922,1,GEN-175-024,Intro to Info Technology,21450,28,Y,NA,4.67,18,Ps,21.40%
2019,University College,201922,1,GEN-175-024,Intro to Info Technology,21450,28,Y,NA,4.67,18,NPs,0.00%
2019,University College,201922,1,GEN-175-025,Intro to Info Technology,21989,28,Y,NA,5,15,As,59.30%
2019,University College,201922,1,GEN-175-025,Intro to Info Technology,21989,28,Y,NA,5,15,Bs,18.50%
2019,University College,201922,1,GEN-175-025,Intro to Info Technology,21989,28,Y,NA,5,15,Cs,0.00%
2019,University College,201922,1,GEN-175-025,Intro to Info Technology,21989,28,Y,NA,5,15,Ds,0.00%
2019,University College,201922,1,GEN-175-025,Intro to Info Technology,21989,28,Y,NA,5,15,Fs,14.80%
2019,University College,201922,1,GEN-175-025,Intro to Info Technology,21989,28,Y,NA,5,15,Ps,7.40%
2019,University College,201922,1,GEN-175-025,Intro to Info Technology,21989,28,Y,NA,5,15,NPs,0.00%
2019,University College,201922,1,GEN-175-038,Intro to Info Technology,22015,29,Y,NA,4.71,21,As,44.80%
2019,University College,201922,1,GEN-175-038,Intro to Info Technology,22015,29,Y,NA,4.71,21,Bs,24.10%
2019,University College,201922,1,GEN-175-038,Intro to Info Technology,22015,29,Y,NA,4.71,21,Cs,0.00%
2019,University College,201922,1,GEN-175-038,Intro to Info Technology,22015,29,Y,NA,4.71,21,Ds,0.00%
2019,University College,201922,1,GEN-175-038,Intro to Info Technology,22015,29,Y,NA,4.71,21,Fs,0.00%
2019,University College,201922,1,GEN-175-038,Intro to Info Technology,22015,29,Y,NA,4.71,21,Ps,24.10%
2019,University College,201922,1,GEN-175-038,Intro to Info Technology,22015,29,Y,NA,4.71,21,NPs,6.90%
2019,University College,201922,1,GEN-175-042,Intro to Info Technology,22026,28,Y,NA,4.62,21,As,53.60%
2019,University College,201922,1,GEN-175-042,Intro to Info Technology,22026,28,Y,NA,4.62,21,Bs,7.10%
2019,University College,201922,1,GEN-175-042,Intro to Info Technology,22026,28,Y,NA,4.62,21,Cs,0.00%
2019,University College,201922,1,GEN-175-042,Intro to Info Technology,22026,28,Y,NA,4.62,21,Ds,0.00%
2019,University College,201922,1,GEN-175-042,Intro to Info Technology,22026,28,Y,NA,4.62,21,Fs,3.60%
2019,University College,201922,1,GEN-175-042,Intro to Info Technology,22026,28,Y,NA,4.62,21,Ps,25.00%
